RegionName,State,City,EndMonth,MedianHomeValue
Navy Yard,DC,Washington,2021-06-30,749897.9575496279
Anacostia,DC,Washington,2021-06-30,426469.9728913335
Columbia Heights,DC,Washington,2021-07-31,658421.2241924292
Capitol Hill,DC,Washington,2021-07-31,936975.9496804236
Petworth,DC,Washington,2021-07-31,713617.2782485038
Adams Morgan,DC,Washington,2021-07-31,580248.8739661679
Shaw,DC,Washington,2021-07-31,818856.5352725022
Navy Yard,DC,Washington,2021-07-31,749628.86
Anacostia,DC,Washington,2021-07-31,427168.8012784587
Columbia Heights,DC,Washington,2021-08-31,657176.7421504583
Capitol Hill,DC,Washington,2021-08-31,939973.5766401952
Petworth,DC,Washington,2021-08-31,714272.0850300286
Adams Morgan,DC,Washington,2021-08-31,581973.6320789853
Shaw,DC,Washington,2021-08-31,821185.2515532998
Navy Yard,DC,Washington,2021-08-31,747112.4479303611
Anacostia,DC,Washington,2021-08-31,425619.6322911734
Columbia Heights,DC,Washington,2021-09-30,654443.18
Capitol Hill,DC,Washington,2021-09-30,938572.8322738396
Petworth,DC,Washington,2021-09-30,710338.0516556959
Adams Morgan,DC,Washington,2021-09-30,582478.9189626575
Shaw,DC,Washington,2021-09-30,822114.2722405577
Navy Yard,DC,Washington,2021-09-30,744744.0355838671
Anacostia,DC,Washington,2021-09-30,423019.4699140966
Columbia Heights,DC,Washington,2021-10-31,653157.7164881405
Capitol Hill,DC,Washington,2021-10-31,937391.7547058542
Petworth,DC,Washington,2021-10-31,706925.2583116043
Adams Morgan,DC,Washington,2021-10-31,583772.1085297652
Shaw,DC,Washington,2021-10-31,823924.3913855302
Navy Yard,DC,Washington,2021-10-31,748462.1257641442
Anacostia,DC,Washington,2021-10-31,420527.90670442674
Columbia Heights,DC,Washington,2021-11-30,653855.9053989951
Capitol Hill,DC,Washington,2021-11-30,936761.83908239
Petworth,DC,Washington,2021-11-30,703274.9419024367
Adams Morgan,DC,Washington,2021-11-30,586511.9806738716
Shaw,DC,Washington,2021-11-30,828426.6387433149
Navy Yard,DC,Washington,2021-11-30,760447.7805623162
Anacostia,DC,Washington,2021-11-30,417842.4743497391
Columbia Heights,DC,Washington,2021-12-31,655162.5551
Capitol Hill,DC,Washington,2021-12-31,936085.4747677904
Petworth,DC,Washington,2021-12-31,700254.9759964029
Adams Morgan,DC,Washington,2021-12-31,589877.9632870416
Shaw,DC,Washington,2021-12-31,831988.0407083919
Navy Yard,DC,Washington,2021-12-31,769212.7146
Anacostia,DC,Washington,2021-12-31,414725.64599963906
Columbia Heights,DC,Washington,2022-01-31,657660.7312129677
Capitol Hill,DC,Washington,2022-01-31,936344.4159035076
Petworth,DC,Washington,2022-01-31,701461.1446440886
Adams Morgan,DC,Washington,2022-01-31,591171.5879037738
Shaw,DC,Washington,2022-01-31,833195.2634850895
Navy Yard,DC,Washington,2022-01-31,767154.2047085529
Anacostia,DC,Washington,2022-01-31,413201.46034185094
Columbia Heights,DC,Washington,2022-02-28,662825.4193162228
Capitol Hill,DC,Washington,2022-02-28,940673.7448471208
Petworth,DC,Washington,2022-02-28,709269.9363640212
Adams Morgan,DC,Washington,2022-02-28,591581.8600586829
Shaw,DC,Washington,2022-02-28,832964.2162773712
Navy Yard,DC,Washington,2022-02-28,754591.6488143426
NoMa,DC,Washington,2022-02-28,567803.9746695575
Anacostia,DC,Washington,2022-02-28,414803.6976249214
Columbia Heights,DC,Washington,2022-03-31,671008.1813480634
Capitol Hill,DC,Washington,2022-03-31,951808.5608979288
Petworth,DC,Washington,2022-03-31,723312.3991
Adams Morgan,DC,Washington,2022-03-31,592566.3725
Shaw,DC,Washington,2022-03-31,836621.9623
Navy Yard,DC,Washington,2022-03-31,742852.1648043673
NoMa,DC,Washington,2022-03-31,567664.2964
Anacostia,DC,Washington,2022-03-31,420623.2358835258
Columbia Heights,DC,Washington,2022-04-30,678148.9912988468
Capitol Hill,DC,Washington,2022-04-30,964085.6649291688
Petworth,DC,Washington,2022-04-30,736176.6924
Adams Morgan,DC,Washington,2022-04-30,594152.6169949755
Shaw,DC,Washington,2022-04-30,841022.3903539217
Navy Yard,DC,Washington,2022-04-30,736863.7736496074
NoMa,DC,Washington,2022-04-30,565743.6036954236
Anacostia,DC,Washington,2022-04-30,426466.2317118418
Columbia Heights,DC,Washington,2022-05-31,681453.8246233274
Capitol Hill,DC,Washington,2022-05-31,972182.2407516614
Petworth,DC,Washington,2022-05-31,743720.1422352213
Adams Morgan,DC,Washington,2022-05-31,594686.5807718518
Shaw,DC,Washington,2022-05-31,843551.8313839114
Navy Yard,DC,Washington,2022-05-31,732541.5293960137
NoMa,DC,Washington,2022-05-31,563988.8393047077
Anacostia,DC,Washington,2022-05-31,430008.2293756895
Columbia Heights,DC,Washington,2022-06-30,681007.2251
Capitol Hill,DC,Washington,2022-06-30,973121.9813833038
Petworth,DC,Washington,2022-06-30,744761.1291675748
Adams Morgan,DC,Washington,2022-06-30,593637.6085405193
Shaw,DC,Washington,2022-06-30,841958.9923511721
Navy Yard,DC,Washington,2022-06-30,725329.9528448418
NoMa,DC,Washington,2022-06-30,561049.2489914042
Anacostia,DC,Washington,2022-06-30,429898.7982331654
Columbia Heights,DC,Washington,2022-07-31,677148.5245038932
Capitol Hill,DC,Washington,2022-07-31,966942.3023780402
Petworth,DC,Washington,2022-07-31,739851.3085474182
Adams Morgan,DC,Washington,2022-07-31,589630.2075
Shaw,DC,Washington,2022-07-31,836027.4011285243
Navy Yard,DC,Washington,2022-07-31,715619.8718818038
NoMa,DC,Washington,2022-07-31,558517.1392321842
Anacostia,DC,Washington,2022-07-31,426863.56282172696
Columbia Heights,DC,Washington,2022-08-31,671773.1907834857
Capitol Hill,DC,Washington,2022-08-31,956152.5340215752
Petworth,DC,Washington,2022-08-31,731264.0079
Adams Morgan,DC,Washington,2022-08-31,583837.8143
Shaw,DC,Washington,2022-08-31,827353.0057856339
Navy Yard,DC,Washington,2022-08-31,705603.6394655863
NoMa,DC,Washington,2022-08-31,555451.7002128417
Anacostia,DC,Washington,2022-08-31,422585.4842574563
Columbia Heights,DC,Washington,2022-09-30,664473.4214647808
Capitol Hill,DC,Washington,2022-09-30,941887.3121937014
Petworth,DC,Washington,2022-09-30,720285.1371845888
Adams Morgan,DC,Washington,2022-09-30,576673.5559
Shaw,DC,Washington,2022-09-30,815613.9640118731
Navy Yard,DC,Washington,2022-09-30,697710.6039384428
NoMa,DC,Washington,2022-09-30,552827.6394189964
Anacostia,DC,Washington,2022-09-30,417149.7593256541
Columbia Heights,DC,Washington,2022-10-31,659049.0898689205
Capitol Hill,DC,Washington,2022-10-31,932006.3632418498
Petworth,DC,Washington,2022-10-31,712091.8137684045
Adams Morgan,DC,Washington,2022-10-31,572321.6036246362
Shaw,DC,Washington,2022-10-31,806683.4452
Navy Yard,DC,Washington,2022-10-31,692344.5612198649
NoMa,DC,Washington,2022-10-31,550299.6067498232
Anacostia,DC,Washington,2022-10-31,412460.4997629945
Columbia Heights,DC,Washington,2022-11-30,654462.9377265566
Capitol Hill,DC,Washington,2022-11-30,927161.2139817084
Petworth,DC,Washington,2022-11-30,706038.5797245152
Adams Morgan,DC,Washington,2022-11-30,569744.9556259761
Shaw,DC,Washington,2022-11-30,799849.4573456402
Navy Yard,DC,Washington,2022-11-30,687497.8064987686
NoMa,DC,Washington,2022-11-30,545588.2787282263
Anacostia,DC,Washington,2022-11-30,407865.74856871733
Columbia Heights,DC,Washington,2022-12-31,650735.1513484869
Capitol Hill,DC,Washington,2022-12-31,925015.1402
Petworth,DC,Washington,2022-12-31,701346.5004937941
Adams Morgan,DC,Washington,2022-12-31,568832.2914419762
Shaw,DC,Washington,2022-12-31,795713.5334
Navy Yard,DC,Washington,2022-12-31,682655.0795136767
NoMa,DC,Washington,2022-12-31,538372.3836547768
Anacostia,DC,Washington,2022-12-31,403895.11233120546
Columbia Heights,DC,Washington,2023-01-31,647115.1628529631
Capitol Hill,DC,Washington,2023-01-31,924458.32777422
Petworth,DC,Washington,2023-01-31,697220.7514240503
Adams Morgan,DC,Washington,2023-01-31,567670.0424474573
Shaw,DC,Washington,2023-01-31,791459.9740519508
Navy Yard,DC,Washington,2023-01-31,676728.7382306267
NoMa,DC,Washington,2023-01-31,528307.4031562839
Anacostia,DC,Washington,2023-01-31,401033.1768171571
Columbia Heights,DC,Washington,2023-02-28,644722.4075457581
Capitol Hill,DC,Washington,2023-02-28,924417.2050095126
Petworth,DC,Washington,2023-02-28,694451.0185153651
Adams Morgan,DC,Washington,2023-02-28,567257.2095453999
Shaw,DC,Washington,2023-02-28,789776.6654494107
Navy Yard,DC,Washington,2023-02-28,672055.4424193009
NoMa,DC,Washington,2023-02-28,519904.1126
Anacostia,DC,Washington,2023-02-28,399404.9201947707
Columbia Heights,DC,Washington,2023-03-31,643396.9898326925
Capitol Hill,DC,Washington,2023-03-31,925263.244468226
Petworth,DC,Washington,2023-03-31,692353.8590863594
