,OFFENSE,Name,YEAR,TotalNeighborhoodCrime
205,THEFT F/AUTO,Shaw,2019,1837
206,THEFT/OTHER,Sixteenth Street Heights,2019,813
207,THEFT F/AUTO,Dupont Circle,2019,1134
208,THEFT/OTHER,Sixteenth Street Heights,2019,813
209,THEFT/OTHER,Shaw,2019,1837
210,THEFT F/AUTO,Shaw,2019,1837
211,THEFT F/AUTO,Shaw,2019,1837
212,THEFT/OTHER,Dupont Circle,2019,1134
213,THEFT F/AUTO,Dupont Circle,2019,1134
214,THEFT F/AUTO,Columbia Heights,2019,1892
215,ROBBERY,Capitol Hill,2019,1598
216,THEFT/OTHER,Shaw,2019,1837
217,BURGLARY,Capitol Hill,2019,1598
218,THEFT/OTHER,Petworth,2019,501
219,THEFT F/AUTO,Shaw,2019,1837
220,THEFT F/AUTO,Columbia Heights,2019,1892
221,THEFT/OTHER,Capitol Hill,2019,1598
222,THEFT/OTHER,Navy Yard,2019,359
223,THEFT F/AUTO,Sixteenth Street Heights,2019,813
224,ROBBERY,Columbia Heights,2019,1892
225,ROBBERY,Capitol Hill,2019,1598
226,BURGLARY,Petworth,2019,501
227,THEFT F/AUTO,Shaw,2019,1837
228,THEFT F/AUTO,Columbia Heights,2019,1892
229,THEFT/OTHER,Shaw,2019,1837
230,THEFT F/AUTO,Columbia Heights,2019,1892
231,THEFT/OTHER,Columbia Heights,2019,1892
232,THEFT F/AUTO,Shaw,2019,1837
233,THEFT F/AUTO,Columbia Heights,2019,1892
234,ROBBERY,Columbia Heights,2019,1892
235,THEFT F/AUTO,Adams Morgan,2019,635
236,THEFT F/AUTO,Shaw,2019,1837
237,ASSAULT W/DANGEROUS WEAPON,Anacostia,2019,248
238,THEFT/OTHER,Capitol Hill,2019,1598
239,THEFT/OTHER,U Street Corridor,2019,288
240,BURGLARY,Sixteenth Street Heights,2019,813
241,THEFT F/AUTO,Capitol Hill,2019,1598
242,THEFT F/AUTO,Dupont Circle,2019,1134
243,THEFT F/AUTO,Sixteenth Street Heights,2019,813
244,THEFT F/AUTO,Capitol Hill,2019,1598
245,THEFT F/AUTO,Shaw,2019,1837
246,THEFT/OTHER,Navy Yard,2019,359
247,THEFT F/AUTO,Dupont Circle,2019,1134
248,MOTOR VEHICLE THEFT,Capitol Hill,2019,1598
249,THEFT/OTHER,NoMa,2019,441
250,THEFT/OTHER,Shaw,2019,1837
