,OFFENSE,NEIGHBORHOOD_CLUSTER,NBH_NAMES,COUNT,YEAR,TotalOffenseCount
10454,THEFT/OTHER,Cluster 28,Historic Anacostia,1,2021,5082
10455,THEFT F/AUTO,Cluster 27,Navy Yard,1,2021,3744
10456,ROBBERY,Cluster 26,Capitol Hill,1,2021,775
10457,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10458,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10459,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10460,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
10461,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10462,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10463,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10464,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10465,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10466,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10467,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
10468,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10469,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
10470,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10471,ASSAULT W/DANGEROUS WEAPON,Cluster 18,Petworth,1,2021,469
10472,MOTOR VEHICLE THEFT,Cluster 1,Adams Morgan,1,2021,1524
10473,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
10474,HOMICIDE,Cluster 2,Columbia Heights,1,2021,47
10475,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10476,ASSAULT W/DANGEROUS WEAPON,Cluster 27,Navy Yard,1,2021,469
10477,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10478,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
10479,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
10480,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10481,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10482,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10483,ASSAULT W/DANGEROUS WEAPON,Cluster 3,Shaw,1,2021,469
10484,MOTOR VEHICLE THEFT,Cluster 28,Historic Anacostia,1,2021,1524
10485,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10486,THEFT/OTHER,Cluster 28,Historic Anacostia,1,2021,5082
10487,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10488,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
10489,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10490,THEFT/OTHER,Cluster 28,Historic Anacostia,1,2021,5082
10491,MOTOR VEHICLE THEFT,Cluster 7,Shaw,1,2021,1524
10492,MOTOR VEHICLE THEFT,Cluster 26,Capitol Hill,1,2021,1524
10493,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10494,MOTOR VEHICLE THEFT,Cluster 6,Dupont Circle,1,2021,1524
10495,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10496,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
10497,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
10498,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10499,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10500,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10501,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10502,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10503,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
10504,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
10505,BURGLARY,Cluster 1,Adams Morgan,1,2021,524
10506,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10507,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10508,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10509,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10510,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10511,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10512,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10513,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10514,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10515,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
10516,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10517,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10518,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10519,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10520,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10521,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10522,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10523,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10524,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10525,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10526,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10527,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10528,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10529,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10530,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10531,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
10532,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10533,THEFT F/AUTO,Cluster 1,Adams Morgan,1,2021,3744
10534,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10535,ASSAULT W/DANGEROUS WEAPON,Cluster 25,Union Station,1,2021,469
10536,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
10537,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10538,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
10539,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
10540,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10541,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10542,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10543,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10544,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10545,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
10546,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10547,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
10548,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
10549,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10550,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10551,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
10552,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
10553,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10554,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10555,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10556,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10557,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
10558,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
10559,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10560,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
10561,BURGLARY,Cluster 3,Shaw,1,2021,524
10562,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10563,MOTOR VEHICLE THEFT,Cluster 26,Capitol Hill,1,2021,1524
10564,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10565,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
10566,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
10567,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10568,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
10569,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10570,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
10571,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
10572,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
