,OFFENSE,NEIGHBORHOOD_CLUSTER,NBH_NAMES,COUNT,YEAR,TotalOffenseCount
0,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
1,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
2,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
3,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
4,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
5,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
6,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
7,ROBBERY,Cluster 1,Adams Morgan,1,2021,775
8,ROBBERY,Cluster 25,Union Station,1,2021,775
9,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
10,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
11,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
12,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
13,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
14,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
15,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
16,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
17,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
18,THEFT F/AUTO,Cluster 27,Navy Yard,1,2021,3744
19,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
20,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
21,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
22,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
23,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
24,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
25,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
26,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
27,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
28,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
29,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
30,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
31,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
32,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
33,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
34,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
35,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
36,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
37,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
38,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
39,ROBBERY,Cluster 3,Shaw,1,2021,775
40,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
41,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
42,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
43,MOTOR VEHICLE THEFT,Cluster 26,Capitol Hill,1,2021,1524
44,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
45,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
46,ROBBERY,Cluster 28,Historic Anacostia,1,2021,775
47,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
48,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
49,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
50,ASSAULT W/DANGEROUS WEAPON,Cluster 25,Union Station,1,2021,469
51,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
52,MOTOR VEHICLE THEFT,Cluster 28,Historic Anacostia,1,2021,1524
53,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
54,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
55,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
56,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
57,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
58,ROBBERY,Cluster 25,Union Station,1,2021,775
59,THEFT/OTHER,Cluster 28,Historic Anacostia,1,2021,5082
60,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
61,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
62,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
63,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
64,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
65,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
66,ROBBERY,Cluster 26,Capitol Hill,1,2021,775
67,ROBBERY,Cluster 25,Union Station,1,2021,775
68,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
69,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
70,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
71,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
72,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
73,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
74,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
75,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
76,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
77,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
78,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
79,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
80,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
81,ASSAULT W/DANGEROUS WEAPON,Cluster 18,Petworth,1,2021,469
82,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
83,SEX ABUSE,Cluster 6,Dupont Circle,1,2021,69
84,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
85,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
86,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
87,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
88,BURGLARY,Cluster 7,Shaw,1,2021,524
89,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
90,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
91,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
92,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
93,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
94,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
95,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
96,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
97,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
98,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
99,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
100,ROBBERY,Cluster 26,Capitol Hill,1,2021,775
101,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
102,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
103,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
104,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
105,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
106,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
107,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
108,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
109,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
110,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
111,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
112,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
113,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
114,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
115,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
116,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
117,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
118,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
119,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
120,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
121,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
122,ROBBERY,Cluster 3,Shaw,1,2021,775
123,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
124,MOTOR VEHICLE THEFT,Cluster 27,Navy Yard,1,2021,1524
125,MOTOR VEHICLE THEFT,Cluster 7,Shaw,1,2021,1524
126,ASSAULT W/DANGEROUS WEAPON,Cluster 26,Capitol Hill,1,2021,469
127,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
128,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
129,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
130,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
131,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
132,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
133,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
134,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
135,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
136,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
137,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
138,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
139,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
140,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
141,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
142,ROBBERY,Cluster 25,Union Station,1,2021,775
143,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
144,ROBBERY,Cluster 28,Historic Anacostia,1,2021,775
145,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
146,THEFT F/AUTO,Cluster 1,Adams Morgan,1,2021,3744
147,MOTOR VEHICLE THEFT,Cluster 7,Shaw,1,2021,1524
148,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
149,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
150,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
151,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
152,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
153,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
154,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
155,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
156,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
157,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
158,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
159,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
160,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
161,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
162,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
163,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
164,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
165,ASSAULT W/DANGEROUS WEAPON,Cluster 25,Union Station,1,2021,469
166,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
167,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
168,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
169,MOTOR VEHICLE THEFT,Cluster 26,Capitol Hill,1,2021,1524
170,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
171,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
172,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
173,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
174,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
175,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
176,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
177,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
178,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
179,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
180,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
181,ROBBERY,Cluster 25,Union Station,1,2021,775
182,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
183,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
184,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
185,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
186,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
187,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
188,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
189,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
190,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
191,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
192,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
193,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
194,ASSAULT W/DANGEROUS WEAPON,Cluster 7,Shaw,1,2021,469
195,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
196,MOTOR VEHICLE THEFT,Cluster 1,Adams Morgan,1,2021,1524
197,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
198,ASSAULT W/DANGEROUS WEAPON,Cluster 18,Petworth,1,2021,469
199,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
200,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
201,MOTOR VEHICLE THEFT,Cluster 28,Historic Anacostia,1,2021,1524
202,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
203,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
204,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
205,MOTOR VEHICLE THEFT,Cluster 7,Shaw,1,2021,1524
206,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
207,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
208,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
209,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
210,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
211,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
212,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
213,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
214,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
215,BURGLARY,Cluster 25,Union Station,1,2021,524
216,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
217,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
218,THEFT F/AUTO,Cluster 27,Navy Yard,1,2021,3744
219,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
220,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
221,BURGLARY,Cluster 25,Union Station,1,2021,524
222,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
223,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
224,THEFT F/AUTO,Cluster 1,Adams Morgan,1,2021,3744
225,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
226,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
227,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
228,MOTOR VEHICLE THEFT,Cluster 27,Navy Yard,1,2021,1524
229,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
230,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
231,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
232,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
233,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
234,ROBBERY,Cluster 3,Shaw,1,2021,775
235,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
236,ROBBERY,Cluster 3,Shaw,1,2021,775
237,ROBBERY,Cluster 18,Petworth,1,2021,775
238,BURGLARY,Cluster 2,Columbia Heights,1,2021,524
239,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
240,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
241,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
242,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
243,ROBBERY,Cluster 26,Capitol Hill,1,2021,775
244,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
245,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
246,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
247,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
248,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
249,MOTOR VEHICLE THEFT,Cluster 26,Capitol Hill,1,2021,1524
250,THEFT F/AUTO,Cluster 28,Historic Anacostia,1,2021,3744
251,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
252,MOTOR VEHICLE THEFT,Cluster 26,Capitol Hill,1,2021,1524
253,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
254,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
255,BURGLARY,Cluster 2,Columbia Heights,1,2021,524
256,ROBBERY,Cluster 18,Petworth,1,2021,775
257,MOTOR VEHICLE THEFT,Cluster 27,Navy Yard,1,2021,1524
258,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
259,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
260,ROBBERY,Cluster 25,Union Station,1,2021,775
261,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
262,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
263,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
264,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
265,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
266,ROBBERY,Cluster 25,Union Station,1,2021,775
267,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
268,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
269,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
270,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
271,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
272,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
273,MOTOR VEHICLE THEFT,Cluster 26,Capitol Hill,1,2021,1524
274,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
275,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
276,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
277,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
278,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
279,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
280,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
281,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
282,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
283,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
284,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
285,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
286,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
287,MOTOR VEHICLE THEFT,Cluster 25,Union Station,1,2021,1524
288,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
289,BURGLARY,Cluster 2,Columbia Heights,1,2021,524
290,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
291,THEFT/OTHER,Cluster 26,Capitol Hill,1,2021,5082
292,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
293,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
294,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
295,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
296,BURGLARY,Cluster 1,Adams Morgan,1,2021,524
297,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
298,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
299,ASSAULT W/DANGEROUS WEAPON,Cluster 26,Capitol Hill,1,2021,469
300,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
301,ASSAULT W/DANGEROUS WEAPON,Cluster 27,Navy Yard,1,2021,469
302,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
303,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
304,BURGLARY,Cluster 6,Dupont Circle,1,2021,524
305,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
306,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
307,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
308,THEFT F/AUTO,Cluster 1,Adams Morgan,1,2021,3744
309,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
310,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
311,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
312,ROBBERY,Cluster 18,Petworth,1,2021,775
313,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
314,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
315,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
316,MOTOR VEHICLE THEFT,Cluster 1,Adams Morgan,1,2021,1524
317,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
318,ASSAULT W/DANGEROUS WEAPON,Cluster 25,Union Station,1,2021,469
319,THEFT F/AUTO,Cluster 6,Dupont Circle,1,2021,3744
320,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
321,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
322,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
323,ASSAULT W/DANGEROUS WEAPON,Cluster 25,Union Station,1,2021,469
324,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
325,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
326,THEFT/OTHER,Cluster 28,Historic Anacostia,1,2021,5082
327,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
328,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
329,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
330,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
331,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
332,MOTOR VEHICLE THEFT,Cluster 1,Adams Morgan,1,2021,1524
333,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
334,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
335,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
336,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
337,ASSAULT W/DANGEROUS WEAPON,Cluster 25,Union Station,1,2021,469
338,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
339,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
340,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
341,ASSAULT W/DANGEROUS WEAPON,Cluster 7,Shaw,1,2021,469
342,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
343,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
344,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
345,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
346,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
347,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
348,ROBBERY,Cluster 2,Columbia Heights,1,2021,775
349,MOTOR VEHICLE THEFT,Cluster 18,Petworth,1,2021,1524
350,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
351,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
352,THEFT F/AUTO,Cluster 3,Shaw,1,2021,3744
353,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
354,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
355,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
356,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
357,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
358,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
359,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
360,THEFT F/AUTO,Cluster 26,Capitol Hill,1,2021,3744
361,ASSAULT W/DANGEROUS WEAPON,Cluster 26,Capitol Hill,1,2021,469
362,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
363,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
364,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
365,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
366,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
367,ROBBERY,Cluster 25,Union Station,1,2021,775
368,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
369,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
370,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
371,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
372,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
373,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
374,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
375,THEFT F/AUTO,Cluster 28,Historic Anacostia,1,2021,3744
376,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
377,THEFT/OTHER,Cluster 18,Petworth,1,2021,5082
378,MOTOR VEHICLE THEFT,Cluster 26,Capitol Hill,1,2021,1524
379,MOTOR VEHICLE THEFT,Cluster 7,Shaw,1,2021,1524
380,THEFT/OTHER,Cluster 2,Columbia Heights,1,2021,5082
381,BURGLARY,Cluster 18,Petworth,1,2021,524
382,THEFT F/AUTO,Cluster 2,Columbia Heights,1,2021,3744
383,ASSAULT W/DANGEROUS WEAPON,Cluster 2,Columbia Heights,1,2021,469
384,MOTOR VEHICLE THEFT,Cluster 2,Columbia Heights,1,2021,1524
385,MOTOR VEHICLE THEFT,Cluster 3,Shaw,1,2021,1524
386,ASSAULT W/DANGEROUS WEAPON,Cluster 3,Shaw,1,2021,469
387,THEFT F/AUTO,Cluster 27,Navy Yard,1,2021,3744
388,ASSAULT W/DANGEROUS WEAPON,Cluster 3,Shaw,1,2021,469
389,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
390,THEFT/OTHER,Cluster 3,Shaw,1,2021,5082
391,THEFT F/AUTO,Cluster 7,Shaw,1,2021,3744
392,THEFT F/AUTO,Cluster 18,Petworth,1,2021,3744
393,THEFT/OTHER,Cluster 1,Adams Morgan,1,2021,5082
394,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
395,THEFT F/AUTO,Cluster 25,Union Station,1,2021,3744
396,THEFT/OTHER,Cluster 7,Shaw,1,2021,5082
397,BURGLARY,Cluster 3,Shaw,1,2021,524
398,THEFT/OTHER,Cluster 6,Dupont Circle,1,2021,5082
399,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
400,THEFT/OTHER,Cluster 27,Navy Yard,1,2021,5082
401,THEFT/OTHER,Cluster 25,Union Station,1,2021,5082
