,RegionName,State,City,EndMonth,MedianHomeValue
3216,NoMa,DC,Washington,2023-04-30,511282.0717613318
3228,Anacostia,DC,Washington,2023-04-30,398176.1506549709
3304,Columbia Heights,DC,Washington,2023-05-31,641498.8698205771
3305,Capitol Hill,DC,Washington,2023-05-31,926169.9713150542
3306,Petworth,DC,Washington,2023-05-31,687337.2197332005
3307,Adams Morgan,DC,Washington,2023-05-31,568324.9243
3315,Shaw,DC,Washington,2023-05-31,789310.3036157992
3326,Navy Yard,DC,Washington,2023-05-31,673375.2110596468
3334,NoMa,DC,Washington,2023-05-31,509021.0906
3346,Anacostia,DC,Washington,2023-05-31,398920.73935724975
3422,Columbia Heights,DC,Washington,2023-06-30,641440.3453750758
3423,Capitol Hill,DC,Washington,2023-06-30,927929.6059579706
3424,Petworth,DC,Washington,2023-06-30,685799.8854808817
3425,Adams Morgan,DC,Washington,2023-06-30,570034.8077577777
3433,Shaw,DC,Washington,2023-06-30,790315.9190457877
3444,Navy Yard,DC,Washington,2023-06-30,675672.7538495674
3452,NoMa,DC,Washington,2023-06-30,507901.8402148725
3464,Anacostia,DC,Washington,2023-06-30,400364.36359092133
3540,Columbia Heights,DC,Washington,2023-07-31,642815.1744065356
3541,Capitol Hill,DC,Washington,2023-07-31,929819.7644880764
3542,Petworth,DC,Washington,2023-07-31,686174.2613864908
3543,Adams Morgan,DC,Washington,2023-07-31,573136.2489598221
3551,Shaw,DC,Washington,2023-07-31,792313.1532900076
3562,Navy Yard,DC,Washington,2023-07-31,678357.5760211287
3570,NoMa,DC,Washington,2023-07-31,507991.5148232716
3582,Anacostia,DC,Washington,2023-07-31,401313.0851566033
3658,Columbia Heights,DC,Washington,2023-08-31,645399.2264076485
3659,Capitol Hill,DC,Washington,2023-08-31,930342.9101109247
3660,Petworth,DC,Washington,2023-08-31,687695.7747382045
3661,Adams Morgan,DC,Washington,2023-08-31,577016.6335945672
3669,Shaw,DC,Washington,2023-08-31,795186.7414
3680,Navy Yard,DC,Washington,2023-08-31,682684.2090871467
3688,NoMa,DC,Washington,2023-08-31,507070.2861
3700,Anacostia,DC,Washington,2023-08-31,401528.7759267758
3776,Columbia Heights,DC,Washington,2023-09-30,647650.9630913214
3777,Capitol Hill,DC,Washington,2023-09-30,928499.17598085
3778,Petworth,DC,Washington,2023-09-30,688969.8852569564
3779,Adams Morgan,DC,Washington,2023-09-30,580549.9171
3787,Shaw,DC,Washington,2023-09-30,797309.6009067302
3798,Navy Yard,DC,Washington,2023-09-30,686508.3098343314
3806,NoMa,DC,Washington,2023-09-30,505974.2610557072
3818,Anacostia,DC,Washington,2023-09-30,400715.0596361736
3894,Columbia Heights,DC,Washington,2023-10-31,648536.8830503513
3895,Capitol Hill,DC,Washington,2023-10-31,925590.1465340698
3896,Petworth,DC,Washington,2023-10-31,688739.5402
3897,Adams Morgan,DC,Washington,2023-10-31,582800.382
3905,Shaw,DC,Washington,2023-10-31,797824.633
3916,Navy Yard,DC,Washington,2023-10-31,686922.3217317732
3924,NoMa,DC,Washington,2023-10-31,502665.9896053623
3936,Anacostia,DC,Washington,2023-10-31,398500.8328426249
4012,Columbia Heights,DC,Washington,2023-11-30,647637.3612867935
4013,Capitol Hill,DC,Washington,2023-11-30,921434.60518996
4014,Petworth,DC,Washington,2023-11-30,686256.5058191492
4015,Adams Morgan,DC,Washington,2023-11-30,582989.9304023565
4023,Shaw,DC,Washington,2023-11-30,795621.3075417412
4034,Navy Yard,DC,Washington,2023-11-30,684222.2604712025
